Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2005","2005","3050","FAO TIER 1","kilotonnes","13.6329","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2006","2006","3050","FAO TIER 1","kilotonnes","111.5747","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2007","2007","3050","FAO TIER 1","kilotonnes","40.2889","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2008","2008","3050","FAO TIER 1","kilotonnes","9.0272","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2009","2009","3050","FAO TIER 1","kilotonnes","65.245","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2010","2010","3050","FAO TIER 1","kilotonnes","10.3842","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2011","2011","3050","FAO TIER 1","kilotonnes","20.7521","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2012","2012","3050","FAO TIER 1","kilotonnes","32.1011","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2013","2013","3050","FAO TIER 1","kilotonnes","54.4025","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2014","2014","3050","FAO TIER 1","kilotonnes","41.9968","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2015","2015","3050","FAO TIER 1","kilotonnes","26.0312","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2016","2016","3050","FAO TIER 1","kilotonnes","33.8845","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2017","2017","3050","FAO TIER 1","kilotonnes","21.4566","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2018","2018","3050","FAO TIER 1","kilotonnes","34.7825","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","386.1977","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6992","Forest fires","2020","2020","3050","FAO TIER 1","kilotonnes","210.4629","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2000","2000","3050","FAO TIER 1","kilotonnes","3.6162","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2001","2001","3050","FAO TIER 1","kilotonnes","1.6538","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2002","2002","3050","FAO TIER 1","kilotonnes","2.9635","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2003","2003","3050","FAO TIER 1","kilotonnes","2.0563","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2004","2004","3050","FAO TIER 1","kilotonnes","1.1774","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2005","2005","3050","FAO TIER 1","kilotonnes","3.3634","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2006","2006","3050","FAO TIER 1","kilotonnes","0.261","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2007","2007","3050","FAO TIER 1","kilotonnes","0.8174","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2008","2008","3050","FAO TIER 1","kilotonnes","1.5261","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2009","2009","3050","FAO TIER 1","kilotonnes","3.9598","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2010","2010","3050","FAO TIER 1","kilotonnes","0.0293","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2011","2011","3050","FAO TIER 1","kilotonnes","3.2859","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2012","2012","3050","FAO TIER 1","kilotonnes","4.1142","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2013","2013","3050","FAO TIER 1","kilotonnes","2.5591","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2014","2014","3050","FAO TIER 1","kilotonnes","3.52","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2015","2015","3050","FAO TIER 1","kilotonnes","2.0082","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2016","2016","3050","FAO TIER 1","kilotonnes","2.2238","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2017","2017","3050","FAO TIER 1","kilotonnes","1.5556","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2018","2018","3050","FAO TIER 1","kilotonnes","10.3417","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","1.6751","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2020","2020","3050","FAO TIER 1","kilotonnes","1.3607","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2000","2000","3050","FAO TIER 1","kilotonnes","2.2685","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2000","2000","3050","FAO TIER 1","kilotonnes","7593.5825","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2001","2001","3050","FAO TIER 1","kilotonnes","2.2175","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2001","2001","3050","FAO TIER 1","kilotonnes","7457.436","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2002","2002","3050","FAO TIER 1","kilotonnes","2.2391","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2002","2002","3050","FAO TIER 1","kilotonnes","7721.9338","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2003","2003","3050","FAO TIER 1","kilotonnes","2.269","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2003","2003","3050","FAO TIER 1","kilotonnes","7788.7621","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2004","2004","3050","FAO TIER 1","kilotonnes","2.3648","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2004","2004","3050","FAO TIER 1","kilotonnes","8191.8732","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2005","2005","3050","FAO TIER 1","kilotonnes","2.2848","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2005","2005","3050","FAO TIER 1","kilotonnes","8182.525","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2006","2006","3050","FAO TIER 1","kilotonnes","2.3604","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2006","2006","3050","FAO TIER 1","kilotonnes","8246.7509","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2007","2007","3050","FAO TIER 1","kilotonnes","2.2965","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2007","2007","3050","FAO TIER 1","kilotonnes","8466.1797","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2008","2008","3050","FAO TIER 1","kilotonnes","2.2842","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2008","2008","3050","FAO TIER 1","kilotonnes","8624.8104","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2009","2009","3050","FAO TIER 1","kilotonnes","2.2026","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2009","2009","3050","FAO TIER 1","kilotonnes","8578.5695","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6815","Food Transport","2010","2010","3050","FAO TIER 1","kilotonnes","2.2502","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6815","Food Transport","2010","2010","3050","FAO TIER 1","kilotonnes","8824.6335","E","Estimated value",""
